report_start_date,report_end_date,marketplace,advertiser_id,path,users,converted_users,purchase_count,revenue
报告开始日期,报告结束日期,广告市场,AMC 广告主 ID,匿名聚合五段触点路径,路径用户数,转化用户数,购买次数,销售额
2026-05-01,2026-06-30,US,adv_demo_001,AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION > SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK > SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,4271,370,415,33300.0
2026-05-01,2026-06-30,US,adv_demo_001,AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION > SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,140,14,15,1470.0
2026-05-01,2026-06-30,US,adv_demo_001,AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION > SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION > SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,1812,148,170,17760.0
2026-05-01,2026-06-30,US,adv_demo_001,AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION > SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK > SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,2368,211,230,28274.0
2026-05-01,2026-06-30,US,adv_demo_001,AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION > SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK > SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,1503,125,136,12375.0
2026-05-01,2026-06-30,US,adv_demo_001,AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION > SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK > SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,2714,246,278,38868.0
2026-05-01,2026-06-30,US,adv_demo_001,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,120,12,13,1200.0
2026-05-01,2026-06-30,US,adv_demo_001,SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION > SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,3229,257,290,38293.0
2026-05-01,2026-06-30,US,adv_demo_001,SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION > SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK > SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,1330,108,115,11016.0
2026-05-01,2026-06-30,US,adv_demo_001,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION > SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION > SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,980,84,96,10560.0
2026-05-01,2026-06-30,US,adv_demo_001,SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,1116,125,141,16250.0
2026-05-01,2026-06-30,US,adv_demo_001,SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION > SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,1499,126,145,17262.0
