journey_id,event_type,event_time,ad_product,format,placement,creative,interaction_type,marketplace,advertiser_id,users,converted_users,purchase_count,revenue,new_to_brand_purchases
aggregate_01,TOUCHPOINT,2026-06-12T09:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
aggregate_01,TOUCHPOINT,2026-06-08T09:00:00Z,AMAZON_DSP,AUDIO,,,IMPRESSION,,,,,,,
aggregate_01,CONVERSION,2026-06-13T09:00:00Z,,,,,,US,adv_demo_001,4271,370,415,33300,0
aggregate_01,TOUCHPOINT,2026-06-10T09:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
aggregate_02,TOUCHPOINT,2026-06-08T10:00:00Z,AMAZON_DSP,AUDIO,,,IMPRESSION,,,,,,,
aggregate_02,TOUCHPOINT,2026-06-10T10:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
aggregate_02,CONVERSION,2026-06-11T10:00:00Z,,,,,,US,adv_demo_001,140,14,15,1470,0
aggregate_03,TOUCHPOINT,2026-06-05T11:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
aggregate_03,TOUCHPOINT,2026-06-08T11:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
aggregate_03,TOUCHPOINT,2026-06-11T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,TOP_OF_SEARCH,,CLICK,,,,,,,
aggregate_03,CONVERSION,2026-06-12T11:00:00Z,,,,,,US,adv_demo_001,1812,148,170,17760,0
aggregate_04,TOUCHPOINT,2026-05-20T12:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
aggregate_04,TOUCHPOINT,2026-05-24T12:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
aggregate_04,TOUCHPOINT,2026-05-28T12:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,REST_OF_SEARCH,,CLICK,,,,,,,
aggregate_04,CONVERSION,2026-05-29T12:00:00Z,,,,,,US,adv_demo_001,2368,211,230,28274,0
aggregate_05,TOUCHPOINT,2026-05-18T13:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
aggregate_05,TOUCHPOINT,2026-05-22T13:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,,,,,,,
aggregate_05,TOUCHPOINT,2026-05-26T13:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
aggregate_05,CONVERSION,2026-05-27T13:00:00Z,,,,,,US,adv_demo_001,1503,125,136,12375,0
aggregate_06,TOUCHPOINT,2026-06-02T14:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
aggregate_06,TOUCHPOINT,2026-06-06T14:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
aggregate_06,TOUCHPOINT,2026-06-10T14:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,REST_OF_SEARCH,,CLICK,,,,,,,
aggregate_06,CONVERSION,2026-06-11T14:00:00Z,,,,,,US,adv_demo_001,2714,246,278,38868,0
aggregate_07,TOUCHPOINT,2026-05-10T15:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
aggregate_07,CONVERSION,2026-05-24T15:00:00Z,,,,,,US,adv_demo_001,120,12,13,1200,0
aggregate_08,TOUCHPOINT,2026-06-03T16:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
