attribution_model,touchpoint,interaction_type,converted_user_share,purchase_count_share,revenue_share,attributed_converted_users,attributed_purchase_count,attributed_revenue,impressions,clicks,cost,reported_purchases,reported_sales,roas,roi,cpa,cost_per_converted_user
markov,AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,IMPRESSION,0.079884,0.080015,0.059137,145.8673,163.5504,13402.05,2778111,0,50006.0,0,0.0,0.268009,-0.731991,305.752844,342.818438
markov,AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,IMPRESSION,0.030788,0.031634,0.030206,56.2197,64.6595,6845.57,3305712,0,41321.4,0,0.0,0.165666,-0.834334,639.061545,734.998586
markov,AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,0.043894,0.042799,0.048088,80.151,87.4805,10898.18,2545713,0,50914.26,0,0.0,0.21405,-0.78595,582.006962,635.229255
markov,AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,0.077179,0.077038,0.087154,140.9291,157.4648,19751.54,3012314,0,84344.79,0,0.0,0.234176,-0.765824,535.642188,598.490943
markov,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,CLICK,0.076971,0.077224,0.056637,140.5492,157.8452,12835.44,0,10270,12324.0,547,45103.28,1.0415,0.0415,78.076495,87.684597
markov,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,0.002496,0.002419,0.002041,4.5583,4.9445,462.54,1310115,0,0.0,0,0.0,,,,
markov,SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,0.053464,0.053963,0.065129,97.6247,110.3015,14759.98,1492116,0,0.0,0,0.0,,,,
markov,SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,CLICK,0.026004,0.025307,0.021047,47.4828,51.7276,4769.93,0,8204,11321.52,400,36615.67,0.421315,-0.578685,218.86807,238.434128
markov,SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,IMPRESSION,0.022467,0.021399,0.018736,41.0252,43.7402,4246.1,1179317,0,0.0,0,0.0,,,,
markov,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,CLICK,0.022467,0.021399,0.018736,41.0252,43.7402,4246.1,0,9540,8776.8,416,31802.96,0.483787,-0.516213,200.657519,213.9368
markov,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,IMPRESSION,0.030788,0.031634,0.030206,56.2197,64.6595,6845.57,1679918,0,0.0,0,0.0,,,,
markov,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,IMPRESSION,0.017475,0.017864,0.017961,31.9085,36.5136,4070.34,1346719,0,0.0,0,0.0,,,,
markov,SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,CLICK,0.09507,0.094529,0.114195,173.5972,193.2177,25879.79,0,8504,10034.72,404,35710.4,2.579025,1.579025,51.934787,57.804619
markov,SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,CLICK,0.131683,0.13249,0.143173,240.4531,270.8091,32447.07,0,22723,19996.24,1651,112765.76,1.622659,0.622659,73.838878,83.160666
markov,SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,0.09507,0.094529,0.114195,173.5972,193.2177,25879.79,0,22262,18254.84,1487,97117.15,1.417695,0.417695,94.478094,105.156304
markov,SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,0.150614,0.150912,0.126039,275.0206,308.4637,28564.06,0,31029,31649.58,2468,178521.84,0.90251,-0.09749,102.603904,115.080761
markov,SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,IMPRESSION,0.043686,0.044845,0.04732,79.7712,91.6643,10723.95,2637323,0,0.0,0,0.0,,,,
