touchpoint,outcome,markov_share,shapley_share,gap_pp,relative_gap,raw_unique_paths,raw_converted_users,raw_purchase_count,calculation_valid,data_support_sufficient,models_consistent,reliability_status,reliability_reason
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,converted_users,0.057105,0.05579,0.1315,0.023295983,21,473,602,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,converted_users,0.062296,0.059861,0.2435,0.039866729,22,516,649,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,converted_users,0.056139,0.056343,0.0204,0.003627247,20,465,581,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,converted_users,0.062658,0.064988,0.233,0.036507215,23,519,650,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,converted_users,0.060244,0.059308,0.0936,0.015658458,22,499,647,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,converted_users,0.056501,0.055388,0.1113,0.019894717,20,468,587,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,converted_users,0.05964,0.059158,0.0482,0.008114615,21,494,606,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,converted_users,0.057588,0.060867,0.3279,0.055362796,21,477,609,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,converted_users,0.058554,0.060766,0.2212,0.037076768,21,485,623,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,converted_users,0.063262,0.062173,0.1089,0.017363575,23,524,654,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,converted_users,0.058312,0.057197,0.1115,0.019305855,20,483,596,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,converted_users,0.059157,0.060766,0.1609,0.026833885,21,490,619,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,converted_users,0.057226,0.059007,0.1781,0.030645342,21,474,609,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,converted_users,0.061693,0.059057,0.2636,0.043660455,22,511,634,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,converted_users,0.059037,0.056092,0.2945,0.051160003,21,489,624,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,converted_users,0.05795,0.058404,0.0454,0.007803771,21,480,598,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,converted_users,0.052638,0.054835,0.2197,0.040884687,20,436,565,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,purchase_count,0.057591,0.055994,0.1597,0.02811991,21,473,602,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,purchase_count,0.062087,0.059896,0.2191,0.035923038,22,516,649,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,purchase_count,0.055582,0.055954,0.0372,0.006670492,20,465,581,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,purchase_count,0.062183,0.064317,0.2134,0.03373913,23,519,650,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,purchase_count,0.061896,0.060892,0.1004,0.01635339,22,499,647,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,purchase_count,0.056156,0.054879,0.1277,0.023001756,20,468,587,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,purchase_count,0.057974,0.057746,0.0228,0.003940546,21,494,606,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,purchase_count,0.058261,0.06137,0.3109,0.051976494,21,477,609,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,purchase_count,0.0596,0.061689,0.2089,0.034446652,21,485,623,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,purchase_count,0.062566,0.061569,0.0997,0.016063157,23,524,654,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,purchase_count,0.057017,0.055914,0.1103,0.019534052,20,483,596,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,purchase_count,0.059217,0.060812,0.1595,0.026576911,21,490,619,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,purchase_count,0.058261,0.059976,0.1715,0.029009532,21,474,609,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,purchase_count,0.060652,0.058064,0.2588,0.043599852,22,511,634,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,purchase_count,0.059696,0.05679,0.2906,0.049894408,21,489,624,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,purchase_count,0.057209,0.057666,0.0457,0.007956474,21,480,598,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,purchase_count,0.054052,0.056472,0.242,0.043791394,20,436,565,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,revenue,0.056823,0.055237,0.1586,0.028306265,21,473,602,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,revenue,0.062159,0.059962,0.2197,0.035980708,22,516,649,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,revenue,0.055426,0.056065,0.0639,0.011462809,20,465,581,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,revenue,0.062871,0.065067,0.2196,0.034329128,23,519,650,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,revenue,0.061363,0.060128,0.1235,0.020330724,22,499,647,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
