attribution_model,touchpoint,interaction_type,converted_user_share,purchase_count_share,revenue_share,attributed_converted_users,attributed_purchase_count,attributed_revenue,impressions,clicks,cost,reported_purchases,reported_sales,roas,roi,cpa,cost_per_converted_user
shapley,AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,IMPRESSION,0.071376,0.071347,0.052222,130.3333,145.8333,11835.0,2778111,0,50006.0,0,0.0,0.236672,-0.763328,342.898364,383.677847
shapley,AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,IMPRESSION,0.027017,0.027724,0.026122,49.3334,56.6667,5920.0,3305712,0,41321.4,0,0.0,0.143267,-0.856733,729.200748,837.594814
shapley,AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,0.038518,0.037508,0.041587,70.3333,76.6667,9424.67,2545713,0,50914.26,0,0.0,0.185109,-0.814891,664.098755,723.899774
shapley,AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,0.067725,0.067515,0.07537,123.6667,138.0,17081.0,3012314,0,84344.79,0,0.0,0.202514,-0.797486,611.19413,682.033158
shapley,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,CLICK,0.067543,0.067678,0.048979,123.3333,138.3333,11100.0,0,10270,12324.0,547,45103.28,0.900682,-0.099318,89.089178,99.924351
shapley,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,0.006572,0.00636,0.005295,12.0,13.0,1200.0,1310115,0,0.0,0,0.0,,,,
shapley,SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,0.070372,0.070939,0.084484,128.5,145.0,19146.5,1492116,0,0.0,0,0.0,,,,
shapley,SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,CLICK,0.022819,0.022179,0.018202,41.6667,45.3333,4125.0,0,8204,11321.52,400,36615.67,0.36435,-0.63565,249.739595,271.716263
shapley,SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,IMPRESSION,0.019715,0.018754,0.016203,36.0,38.3333,3672.0,1179317,0,0.0,0,0.0,,,,
shapley,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,CLICK,0.019715,0.018754,0.016203,36.0,38.3333,3672.0,0,9540,8776.8,416,31802.96,0.418376,-0.581624,228.960199,243.8
shapley,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,IMPRESSION,0.027017,0.027723,0.026122,49.3333,56.6667,5920.0,1679918,0,0.0,0,0.0,,,,
shapley,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,IMPRESSION,0.015334,0.015656,0.015532,28.0,32.0,3520.0,1346719,0,0.0,0,0.0,,,,
shapley,SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,CLICK,0.083425,0.082844,0.098755,152.3333,169.3333,22380.67,0,8504,10034.72,404,35710.4,2.230323,1.230323,59.260169,65.87345
shapley,SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,CLICK,0.196148,0.19757,0.212474,358.1667,403.8334,48152.5,0,22723,19996.24,1651,112765.76,2.408078,1.408078,49.516063,55.829422
shapley,SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,0.083425,0.082844,0.098755,152.3333,169.3333,22380.66,0,22262,18254.84,1487,97117.15,1.226012,0.226012,107.804194,119.834862
shapley,SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,0.133443,0.13348,0.110079,243.6667,272.8334,24947.0,0,31029,31649.58,2468,178521.84,0.788225,-0.211775,116.003319,129.888819
shapley,SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,IMPRESSION,0.049836,0.051125,0.053616,91.0,104.5,12151.0,2637323,0,0.0,0,0.0,,,,
