date,channel,spend,impressions,clicks
2026-01-01,TikTok,891.92,82670,2069
2026-01-01,Meta,1076.1,107547,2606
2026-01-01,Google Search,698.33,99446,2245
2026-01-01,Email,370.05,44251,631
2026-01-02,TikTok,959.11,167621,3372
2026-01-02,Meta,1032.75,87098,2909
2026-01-02,Google Search,1035.61,147635,2187
2026-01-02,Email,793.01,126503,3280
2026-01-03,TikTok,673.96,60952,1253
2026-01-03,Meta,798.59,66084,1534
2026-01-03,Google Search,973.89,120604,1796
2026-01-03,Email,737.8,59602,823
2026-01-04,TikTok,508.19,61726,1044
2026-01-04,Meta,449.34,70021,1111
2026-01-04,Google Search,1092.21,107704,2259
2026-01-04,Email,668.14,112004,1522
2026-01-05,TikTok,432.04,61565,2133
2026-01-05,Meta,704.84,57127,1034
2026-01-05,Google Search,633.64,60333,1286
2026-01-05,Email,818.97,75785,2544
2026-01-06,TikTok,407.12,65940,1242
2026-01-06,Meta,730.38,100936,1214
2026-01-06,Google Search,461.35,48316,1131
2026-01-06,Email,439.56,76514,2144
2026-01-07,TikTok,1014.43,93936,3179
2026-01-07,Meta,660.63,107800,1592
2026-01-07,Google Search,503.8,81199,2481
2026-01-07,Email,522.4,57427,1499
2026-01-08,TikTok,998.47,143430,2792
2026-01-08,Meta,955.9,167774,2801
2026-01-08,Google Search,1175.06,103598,1571
2026-01-08,Email,1153.5,177308,4762
2026-01-09,TikTok,587.86,104974,1765
2026-01-09,Meta,1041.06,165575,3986
2026-01-09,Google Search,678.34,114522,2572
2026-01-09,Email,363.74,31522,767
2026-01-10,TikTok,804.36,132789,2661
2026-01-10,Meta,930.19,102405,1924
2026-01-10,Google Search,876.49,79694,1151
2026-01-10,Email,1176.58,111613,2089
2026-01-11,TikTok,726.75,127832,3231
2026-01-11,Meta,774.68,81799,1175
2026-01-11,Google Search,654.2,107716,1345
2026-01-11,Email,640.72,95626,2136
2026-01-12,TikTok,1076.09,113436,3670
2026-01-12,Meta,443.13,60113,1663
2026-01-12,Google Search,938.03,134132,2442
2026-01-12,Email,697.68,103951,1700
2026-01-13,TikTok,601.24,68122,2282
2026-01-13,Meta,548.82,77693,1920
2026-01-13,Google Search,357.08,45296,682
2026-01-13,Email,369.16,60068,1777
2026-01-14,TikTok,1072.68,164056,3276
2026-01-14,Meta,1193.15,128504,3125
2026-01-14,Google Search,396.05,36918,819
2026-01-14,Email,760.95,89705,1088
2026-01-15,TikTok,431.43,76946,1672
2026-01-15,Meta,718.71,92347,1821
2026-01-15,Google Search,731.42,72553,2083
2026-01-15,Email,1044.79,110166,2008
2026-01-16,TikTok,1105.51,102030,3112
2026-01-16,Meta,382.5,47432,893
2026-01-16,Google Search,472.18,72364,881
2026-01-16,Email,994.47,134917,1665
2026-01-17,TikTok,527.31,56774,942
2026-01-17,Meta,967.3,87331,2419
2026-01-17,Google Search,791.01,76496,1699
2026-01-17,Email,967.9,110908,2018
2026-01-18,TikTok,1039.57,131006,2290
2026-01-18,Meta,529.14,55987,1770
2026-01-18,Google Search,456.72,50764,1218
2026-01-18,Email,792.17,139911,4379
2026-01-19,TikTok,903.09,139861,4578
2026-01-19,Meta,490.99,83361,2627
2026-01-19,Google Search,1088.01,111101,1400
2026-01-19,Email,1163.55,114254,3825
2026-01-20,TikTok,572.32,68423,1732
2026-01-20,Meta,513.59,67682,1578
2026-01-20,Google Search,444.08,76728,2485
2026-01-20,Email,638.57,107390,3461
2026-01-21,TikTok,955.41,146013,2223
2026-01-21,Meta,505.06,44571,1234
2026-01-21,Google Search,882.61,84744,2427
2026-01-21,Email,388.37,59573,731
2026-01-22,TikTok,477.76,69835,1289
2026-01-22,Meta,1170.73,210700,3438
2026-01-22,Google Search,926.21,124574,3330
2026-01-22,Email,820.07,96188,2853
2026-01-23,TikTok,528.67,86471,2616
2026-01-23,Meta,456.48,50846,1461
2026-01-23,Google Search,553.9,55293,1143
2026-01-23,Email,830.96,119652,1955
2026-01-24,TikTok,1090.71,142637,4108
2026-01-24,Meta,1132.23,160361,4158
2026-01-24,Google Search,757.69,113254,2195
2026-01-24,Email,939.71,154076,4364
2026-01-25,TikTok,1111.74,121597,2340
2026-01-25,Meta,622.63,93161,2395
2026-01-25,Google Search,773.3,76548,2421
2026-01-25,Email,844.31,141142,2200
2026-01-26,TikTok,527.64,68776,1685
2026-01-26,Meta,908.74,82585,2796
2026-01-26,Google Search,690.05,72031,1360
2026-01-26,Email,1024.01,164912,4266
2026-01-27,TikTok,432.79,45858,668
2026-01-27,Meta,784.05,85879,2598
2026-01-27,Google Search,737.86,114823,3166
2026-01-27,Email,570.28,78349,1067
2026-01-28,TikTok,923.39,136242,4404
2026-01-28,Meta,1152.06,141544,3791
2026-01-28,Google Search,1189.34,142333,2021
2026-01-28,Email,504.27,90626,2093
2026-01-29,TikTok,894.44,129563,2369
2026-01-29,Meta,857.59,70113,1416
2026-01-29,Google Search,541.8,48835,1162
2026-01-29,Email,571.6,66631,1051
2026-01-30,TikTok,830.48,84794,2317
2026-01-30,Meta,626.43,103098,1494
2026-01-30,Google Search,938.53,89491,2524
2026-01-30,Email,1102.39,181440,4655
2026-01-31,TikTok,1189.65,153100,1965
2026-01-31,Meta,832.44,103844,3587
2026-01-31,Google Search,1046.21,153792,3376
2026-01-31,Email,492.61,67219,1654
2026-02-01,TikTok,535.71,84304,1590
2026-02-01,Meta,432.98,51173,1554
2026-02-01,Google Search,1066.82,147375,4271
2026-02-01,Email,523.99,72681,1493
2026-02-02,TikTok,490.26,69378,2120
2026-02-02,Meta,896.22,91748,2100
2026-02-02,Google Search,531.22,60497,1633
2026-02-02,Email,485.62,41165,1378
2026-02-03,TikTok,421.44,64629,1818
2026-02-03,Meta,935.14,122941,2741
2026-02-03,Google Search,574.34,93387,2793
2026-02-03,Email,730.81,130588,4071
2026-02-04,TikTok,1129.31,112864,1362
2026-02-04,Meta,403.81,35804,509
2026-02-04,Google Search,874.57,91918,1345
2026-02-04,Email,816.29,76982,2256
2026-02-05,TikTok,773.39,135453,1881
2026-02-05,Meta,957.7,121334,1614
2026-02-05,Google Search,446.82,45945,1155
2026-02-05,Email,922.28,98511,3036
2026-02-06,TikTok,648.13,69470,1756
2026-02-06,Meta,845.52,139981,3565
2026-02-06,Google Search,604.35,101993,2635
2026-02-06,Email,887.95,129341,1913
2026-02-07,TikTok,453.83,58137,923
2026-02-07,Meta,417.91,38908,1266
2026-02-07,Google Search,613.75,67306,934
2026-02-07,Email,492.65,47611,1315
2026-02-08,TikTok,1074.35,176907,4163
2026-02-08,Meta,897.0,153295,4130
2026-02-08,Google Search,375.46,34364,999
2026-02-08,Email,643.81,95508,1637
2026-02-09,TikTok,424.23,57971,851
2026-02-09,Meta,375.15,54246,1377
2026-02-09,Google Search,502.52,60403,1883
2026-02-09,Email,452.44,75209,1163
2026-02-10,TikTok,882.69,93525,2530
2026-02-10,Meta,838.68,133928,3577
2026-02-10,Google Search,1115.93,133950,4293
2026-02-10,Email,435.18,49390,1174
2026-02-11,TikTok,356.7,44045,976
2026-02-11,Meta,394.87,68250,2034
2026-02-11,Google Search,976.72,113205,3147
2026-02-11,Email,858.96,152256,2955
2026-02-12,TikTok,920.14,150003,3136
2026-02-12,Meta,477.25,69350,1085
2026-02-12,Google Search,1074.42,147033,3458
2026-02-12,Email,1037.1,135105,3129
2026-02-13,TikTok,1155.8,169073,4119
2026-02-13,Meta,1030.03,111508,3300
2026-02-13,Google Search,790.64,136952,1882
2026-02-13,Email,499.36,47370,875
2026-02-14,TikTok,672.64,77364,2520
2026-02-14,Meta,523.61,68056,1921
2026-02-14,Google Search,474.28,44733,880
2026-02-14,Email,682.65,103218,3115
2026-02-15,TikTok,674.32,61422,1932
2026-02-15,Meta,1188.44,189597,4602
2026-02-15,Google Search,399.11,44713,642
2026-02-15,Email,1067.76,102686,2697
2026-02-16,TikTok,588.16,90153,2981
2026-02-16,Meta,778.21,137268,3978
2026-02-16,Google Search,394.81,48586,1043
2026-02-16,Email,576.88,79225,1460
2026-02-17,TikTok,558.09,89567,2130
2026-02-17,Meta,1108.59,127760,3656
2026-02-17,Google Search,454.02,72921,1718
2026-02-17,Email,820.81,128122,2876
2026-02-18,TikTok,1017.33,134970,2653
2026-02-18,Meta,973.32,107737,2409
2026-02-18,Google Search,635.68,64545,1085
2026-02-18,Email,542.91,64646,888
2026-02-19,TikTok,870.08,118604,1766
2026-02-19,Meta,971.8,101834,2490
2026-02-19,Google Search,1139.25,175418,6076
2026-02-19,Email,887.52,135026,4350
2026-02-20,TikTok,1024.74,111224,1673
2026-02-20,Meta,1175.92,205356,3358
2026-02-20,Google Search,684.01,68380,1978
2026-02-20,Email,357.27,36391,503
2026-02-21,TikTok,411.86,50795,1238
2026-02-21,Meta,812.82,102098,3470
2026-02-21,Google Search,1015.48,151334,1952
2026-02-21,Email,1061.23,120751,2356
2026-02-22,TikTok,619.89,73756,2056
2026-02-22,Meta,986.82,99645,1642
2026-02-22,Google Search,950.13,139413,2036
2026-02-22,Email,1128.97,106457,2892
2026-02-23,TikTok,469.45,45817,1457
2026-02-23,Meta,1119.51,197937,3208
2026-02-23,Google Search,398.15,51444,1504
2026-02-23,Email,1172.34,158147,2574
2026-02-24,TikTok,376.07,54254,1207
2026-02-24,Meta,1147.42,176378,4138
2026-02-24,Google Search,389.06,60560,969
2026-02-24,Email,520.75,81866,2551
2026-02-25,TikTok,833.55,144344,2454
2026-02-25,Meta,770.17,97900,2833
2026-02-25,Google Search,857.5,75529,1949
2026-02-25,Email,851.21,125988,1887
2026-02-26,TikTok,481.55,39682,690
2026-02-26,Meta,727.35,112316,2177
2026-02-26,Google Search,753.15,80370,977
2026-02-26,Email,819.48,91933,3056
2026-02-27,TikTok,1146.37,172632,4461
2026-02-27,Meta,416.54,73669,2547
2026-02-27,Google Search,863.39,115569,1908
2026-02-27,Email,1185.54,163583,4779
2026-02-28,TikTok,879.73,118414,1823
2026-02-28,Meta,717.75,73516,1285
2026-02-28,Google Search,361.8,29641,822
2026-02-28,Email,1148.71,156463,4866
2026-03-01,TikTok,1130.15,175123,5111
2026-03-01,Meta,1058.65,105730,2978
2026-03-01,Google Search,409.63,62239,836
2026-03-01,Email,774.1,93979,2437
