user_id,path,conversion,revenue,touch_count,first_touch_channel,last_touch_channel,conversion_timestamp
u00001,Start > Meta > Google Search > Null,0,0,2,Meta,Google Search,
u00002,Start > Google Search > TikTok > Google Search > Null,0,0,3,Google Search,Google Search,
u00003,Start > Meta > Email > Google Search > Google Search > Conversion,1,767.5,4,Meta,Google Search,2026-01-10 21:31:00
u00004,Start > Meta > Google Search > Google Search > Google Search > Google Search > Conversion,1,559.65,5,Meta,Google Search,2026-02-02 21:42:00
u00005,Start > TikTok > Null,0,0,1,TikTok,TikTok,
u00006,Start > Google Search > TikTok > Google Search > Google Search > Meta > Conversion,1,429.65,5,Google Search,Meta,2026-02-03 03:19:00
u00007,Start > Google Search > TikTok > TikTok > Google Search > TikTok > Null,0,0,5,Google Search,TikTok,
u00008,Start > TikTok > Google Search > Conversion,1,589.25,2,TikTok,Google Search,2026-01-31 15:34:00
u00009,Start > Meta > Meta > Google Search > Google Search > TikTok > Conversion,1,370.25,5,Meta,TikTok,2026-02-07 18:51:00
u00010,Start > TikTok > Meta > Null,0,0,2,TikTok,Meta,
u00011,Start > Meta > Meta > Google Search > TikTok > Google Search > Null,0,0,5,Meta,Google Search,
u00012,Start > Google Search > Null,0,0,1,Google Search,Google Search,
u00013,Start > Google Search > Email > Null,0,0,2,Google Search,Email,
u00014,Start > TikTok > TikTok > TikTok > Google Search > Meta > Null,0,0,5,TikTok,Meta,
u00015,Start > TikTok > Null,0,0,1,TikTok,TikTok,
u00016,Start > Meta > Meta > Google Search > Null,0,0,3,Meta,Google Search,
u00017,Start > Email > Null,0,0,1,Email,Email,
u00018,Start > Meta > Null,0,0,1,Meta,Meta,
u00019,Start > Google Search > TikTok > Google Search > Null,0,0,3,Google Search,Google Search,
u00020,Start > Meta > Google Search > TikTok > Email > Meta > Null,0,0,5,Meta,Meta,
u00021,Start > Meta > Email > Null,0,0,2,Meta,Email,
u00022,Start > TikTok > Null,0,0,1,TikTok,TikTok,
u00023,Start > Google Search > Null,0,0,1,Google Search,Google Search,
u00024,Start > Google Search > Meta > Null,0,0,2,Google Search,Meta,
u00025,Start > Meta > Google Search > Google Search > Meta > Null,0,0,4,Meta,Meta,
u00026,Start > Google Search > Null,0,0,1,Google Search,Google Search,
u00027,Start > Google Search > Email > Meta > Google Search > Null,0,0,4,Google Search,Google Search,
u00028,Start > TikTok > Meta > Meta > Meta > Null,0,0,4,TikTok,Meta,
u00029,Start > TikTok > Email > Null,0,0,2,TikTok,Email,
u00030,Start > Google Search > Meta > Google Search > Conversion,1,635.3,3,Google Search,Google Search,2026-01-07 04:06:00
u00031,Start > TikTok > Meta > Null,0,0,2,TikTok,Meta,
u00032,Start > Google Search > Google Search > Conversion,1,556.05,2,Google Search,Google Search,2026-02-25 02:47:00
u00033,Start > Meta > Meta > TikTok > TikTok > Null,0,0,4,Meta,TikTok,
u00034,Start > Meta > Meta > Null,0,0,2,Meta,Meta,
u00035,Start > TikTok > TikTok > TikTok > Null,0,0,3,TikTok,TikTok,
u00036,Start > TikTok > TikTok > Null,0,0,2,TikTok,TikTok,
u00037,Start > Google Search > Null,0,0,1,Google Search,Google Search,
u00038,Start > Meta > Google Search > Null,0,0,2,Meta,Google Search,
u00039,Start > TikTok > TikTok > Google Search > Null,0,0,3,TikTok,Google Search,
u00040,Start > Meta > Google Search > Conversion,1,666,2,Meta,Google Search,2026-01-05 09:47:00
u00041,Start > Meta > Email > Null,0,0,2,Meta,Email,
u00042,Start > Meta > TikTok > Meta > Null,0,0,3,Meta,Meta,
u00043,Start > Meta > Meta > Meta > TikTok > Meta > Null,0,0,5,Meta,Meta,
u00044,Start > TikTok > Google Search > Meta > Meta > Meta > Null,0,0,5,TikTok,Meta,
u00045,Start > Meta > Meta > Null,0,0,2,Meta,Meta,
u00046,Start > Meta > Google Search > Null,0,0,2,Meta,Google Search,
u00047,Start > Google Search > TikTok > Google Search > Meta > Null,0,0,4,Google Search,Meta,
u00048,Start > Google Search > Meta > Google Search > Null,0,0,3,Google Search,Google Search,
u00049,Start > Meta > Google Search > TikTok > Null,0,0,3,Meta,TikTok,
