user_id,channels,conversion,revenue,touch_count
u00001,"Meta,Google Search",0,0,2
u00002,"Google Search,TikTok",0,0,3
u00003,"Meta,Email,Google Search",1,767.5,4
u00004,"Meta,Google Search",1,559.65,5
u00005,TikTok,0,0,1
u00006,"Google Search,TikTok,Meta",1,429.65,5
u00007,"Google Search,TikTok",0,0,5
u00008,"TikTok,Google Search",1,589.25,2
u00009,"Meta,Google Search,TikTok",1,370.25,5
u00010,"TikTok,Meta",0,0,2
u00011,"Meta,Google Search,TikTok",0,0,5
u00012,Google Search,0,0,1
u00013,"Google Search,Email",0,0,2
u00014,"TikTok,Google Search,Meta",0,0,5
u00015,TikTok,0,0,1
u00016,"Meta,Google Search",0,0,3
u00017,Email,0,0,1
u00018,Meta,0,0,1
u00019,"Google Search,TikTok",0,0,3
u00020,"Meta,Google Search,TikTok,Email",0,0,5
u00021,"Meta,Email",0,0,2
u00022,TikTok,0,0,1
u00023,Google Search,0,0,1
u00024,"Google Search,Meta",0,0,2
u00025,"Meta,Google Search",0,0,4
u00026,Google Search,0,0,1
u00027,"Google Search,Email,Meta",0,0,4
u00028,"TikTok,Meta",0,0,4
u00029,"TikTok,Email",0,0,2
u00030,"Google Search,Meta",1,635.3,3
u00031,"TikTok,Meta",0,0,2
u00032,Google Search,1,556.05,2
u00033,"Meta,TikTok",0,0,4
u00034,Meta,0,0,2
u00035,TikTok,0,0,3
u00036,TikTok,0,0,2
u00037,Google Search,0,0,1
u00038,"Meta,Google Search",0,0,2
u00039,"TikTok,Google Search",0,0,3
u00040,"Meta,Google Search",1,666,2
u00041,"Meta,Email",0,0,2
u00042,"Meta,TikTok",0,0,3
u00043,"Meta,TikTok",0,0,5
u00044,"TikTok,Google Search,Meta",0,0,5
u00045,Meta,0,0,2
u00046,"Meta,Google Search",0,0,2
u00047,"Google Search,TikTok,Meta",0,0,4
u00048,"Google Search,Meta",0,0,3
u00049,"Meta,Google Search,TikTok",0,0,3
u00050,"Google Search,TikTok,Meta",0,0,5
u00051,Google Search,1,550.4,1
u00052,Email,0,0,1
u00053,"Meta,Email,Google Search",1,755.05,4
u00054,TikTok,0,0,3
u00055,"Google Search,TikTok",0,0,2
u00056,"Google Search,TikTok,Email",1,255.95,5
u00057,"TikTok,Meta",1,613.3,2
u00058,"Google Search,Meta,TikTok",0,0,5
u00059,Meta,0,0,2
u00060,TikTok,0,0,2
u00061,Meta,0,0,1
u00062,"TikTok,Google Search",0,0,2
u00063,TikTok,0,0,2
u00064,"Meta,Google Search",0,0,2
u00065,"Meta,TikTok",0,0,2
u00066,"Meta,TikTok",0,0,4
u00067,TikTok,0,0,2
u00068,"TikTok,Meta",1,358.6,2
u00069,"TikTok,Email,Google Search,Meta",0,0,4
u00070,Google Search,1,740.15,1
u00071,"TikTok,Meta",1,499.15,3
u00072,"TikTok,Google Search,Meta",1,579.4,3
