user_id, timestamp          , channel      , event_type   , campaign_id, platform     , region    , industry , creative_type, conversion, revenue
u00001 , 2026-02-17 18:52:00, Meta         , impression   , MT-2001    , Meta         , US-East   , Tech     , UGC          ,          0,    0
u00001 , 2026-02-18 04:06:00, Google Search, impression   , GS-3003    , Google Search, US-East   , Tech     , UGC          ,          0,    0
u00001 , 2026-02-25 04:06:00, Null         , no_conversion,            , Null         , US-East   , Tech     ,              ,          0,    0
u00002 , 2026-01-28 01:45:00, Google Search, impression   , GS-3001    , Google Search, US-West   , Travel   , Polished     ,          0,    0
u00002 , 2026-01-28 07:09:00, TikTok       , impression   , TT-1003    , TikTok       , US-West   , Travel   , Polished     ,          0,    0
u00002 , 2026-01-28 19:00:00, Google Search, impression   , GS-3003    , Google Search, US-West   , Travel   , Polished     ,          0,    0
u00002 , 2026-02-04 19:00:00, Null         , no_conversion,            , Null         , US-West   , Travel   ,              ,          0,    0
u00003 , 2026-01-07 04:07:00, Meta         , impression   , MT-2001    , Meta         , US-East   , Food     , UGC          ,          0,    0
u00003 , 2026-01-08 10:13:00, Email        , impression   , EM-4003    , Email        , US-East   , Food     , Polished     ,          0,    0
u00003 , 2026-01-09 15:36:00, Google Search, impression   , GS-3001    , Google Search, US-East   , Food     , Polished     ,          0,    0
u00003 , 2026-01-10 15:53:00, Google Search, click        , GS-3003    , Google Search, US-East   , Food     , Carousel     ,          0,    0
u00003 , 2026-01-10 21:31:00, Conversion   , purchase     ,            , Conversion   , US-East   , Food     ,              ,          1,  767.5
u00004 , 2026-01-30 20:08:00, Meta         , impression   , MT-2001    , Meta         , US-West   , Fashion  , Polished     ,          0,    0
u00004 , 2026-01-31 06:06:00, Google Search, click        , GS-3002    , Google Search, US-West   , Fashion  , Carousel     ,          0,    0
u00004 , 2026-01-31 15:47:00, Google Search, impression   , GS-3002    , Google Search, US-West   , Fashion  , Carousel     ,          0,    0
u00004 , 2026-01-31 23:03:00, Google Search, impression   , GS-3003    , Google Search, US-West   , Fashion  , Carousel     ,          0,    0
u00004 , 2026-02-01 19:19:00, Google Search, click        , GS-3003    , Google Search, US-West   , Fashion  , Polished     ,          0,    0
u00004 , 2026-02-02 21:42:00, Conversion   , purchase     ,            , Conversion   , US-West   , Fashion  ,              ,          1,  559.65
u00005 , 2026-02-02 15:31:00, TikTok       , impression   , TT-1002    , TikTok       , US-West   , Travel   , UGC          ,          0,    0
u00005 , 2026-02-09 15:31:00, Null         , no_conversion,            , Null         , US-West   , Travel   ,              ,          0,    0
u00006 , 2026-01-31 16:37:00, Google Search, impression   , GS-3001    , Google Search, US-Midwest, Travel   , Polished     ,          0,    0
u00006 , 2026-02-01 09:37:00, TikTok       , click        , TT-1002    , TikTok       , US-Midwest, Travel   , Carousel     ,          0,    0
