journey_id,event_type,event_time,ad_product,format,placement,creative,interaction_type,marketplace,advertiser_id,users,converted_users,purchase_count,revenue,new_to_brand_purchases
cohort_001,TOUCHPOINT,2026-01-04T09:00:00Z,AMAZON_DSP,AUDIO,,,IMPRESSION,,,,,,,
cohort_001,TOUCHPOINT,2026-01-05T10:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_001,CONVERSION,2026-01-06T18:00:00Z,,,,,,US,adv_demo_001,12,4,5,498.75,1
cohort_002,TOUCHPOINT,2026-01-14T09:00:00Z,AMAZON_DSP,DISPLAY,,IMAGE,IMPRESSION,,,,,,,
cohort_002,TOUCHPOINT,2026-01-15T10:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_002,TOUCHPOINT,2026-01-16T11:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_002,CONVERSION,2026-01-17T18:00:00Z,,,,,,US,adv_demo_001,13,6,6,468.08,2
cohort_003,TOUCHPOINT,2026-01-24T09:00:00Z,AMAZON_DSP,ONLINE_VIDEO,,VIDEO,IMPRESSION,,,,,,,
cohort_003,TOUCHPOINT,2026-01-25T10:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
cohort_003,TOUCHPOINT,2026-01-26T11:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_003,TOUCHPOINT,2026-01-27T12:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,VIDEO,IMPRESSION,,,,,,,
cohort_003,CONVERSION,2026-01-28T18:00:00Z,,,,,,US,adv_demo_001,14,7,7,592.20,1
cohort_004,TOUCHPOINT,2026-02-06T09:00:00Z,AMAZON_DSP,STREAMING_TV,,VIDEO,IMPRESSION,,,,,,,
cohort_004,TOUCHPOINT,2026-02-07T10:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_004,CONVERSION,2026-02-08T18:00:00Z,,,,,,US,adv_demo_001,15,8,9,740.05,3
cohort_005,TOUCHPOINT,2026-02-16T09:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_005,TOUCHPOINT,2026-02-17T10:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
cohort_005,TOUCHPOINT,2026-02-18T11:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_005,CONVERSION,2026-02-19T18:00:00Z,,,,,,US,adv_demo_001,16,5,6,446.50,2
cohort_006,TOUCHPOINT,2026-02-26T09:00:00Z,SPONSORED_BRANDS,COMPONENT,TOP_OF_SEARCH,IMAGE,CLICK,,,,,,,
cohort_006,TOUCHPOINT,2026-02-27T10:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_006,TOUCHPOINT,2026-02-28T11:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_006,TOUCHPOINT,2026-03-01T12:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,REST_OF_SEARCH,,CLICK,,,,,,,
cohort_006,CONVERSION,2026-03-02T18:00:00Z,,,,,,US,adv_demo_001,17,7,8,502.12,2
cohort_007,TOUCHPOINT,2026-03-11T09:00:00Z,SPONSORED_BRANDS,DISPLAY,REST_OF_SEARCH,IMAGE,IMPRESSION,,,,,,,
cohort_007,TOUCHPOINT,2026-03-12T10:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_007,CONVERSION,2026-03-13T18:00:00Z,,,,,,US,adv_demo_001,18,8,9,807.63,2
cohort_008,TOUCHPOINT,2026-03-21T09:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,IMPRESSION,,,,,,,
cohort_008,TOUCHPOINT,2026-03-22T10:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,,,,,,,
cohort_008,TOUCHPOINT,2026-03-23T11:00:00Z,SPONSORED_DISPLAY,VIDEO,PRODUCT_PAGE,VIDEO,CLICK,,,,,,,
cohort_008,CONVERSION,2026-03-24T18:00:00Z,,,,,,US,adv_demo_001,12,7,8,704.00,1
cohort_009,TOUCHPOINT,2026-01-05T09:00:00Z,SPONSORED_BRANDS,VIDEO,TOP_OF_SEARCH,VIDEO,CLICK,,,,,,,
cohort_009,TOUCHPOINT,2026-01-06T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_009,TOUCHPOINT,2026-01-07T11:00:00Z,SPONSORED_PRODUCTS,PRODUCT_AD,PRODUCT_PAGE,,CLICK,,,,,,,
cohort_009,TOUCHPOINT,2026-01-08T12:00:00Z,AMAZON_DSP,AUDIO,,,IMPRESSION,,,,,,,
cohort_009,CONVERSION,2026-01-09T18:00:00Z,,,,,,US,adv_demo_001,13,4,5,453.63,2
cohort_010,TOUCHPOINT,2026-01-18T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,IMPRESSION,,,,,,,
cohort_010,TOUCHPOINT,2026-01-19T10:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
cohort_010,CONVERSION,2026-01-20T18:00:00Z,,,,,,US,adv_demo_001,14,5,6,444.60,0
cohort_011,TOUCHPOINT,2026-01-28T09:00:00Z,SPONSORED_DISPLAY,DISPLAY,PRODUCT_PAGE,IMAGE,CLICK,,,,,,,
