touchpoint,outcome,markov_share,shapley_share,gap_pp,relative_gap,raw_unique_paths,raw_converted_users,raw_purchase_count,calculation_valid,data_support_sufficient,models_consistent,reliability_status,reliability_reason
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,converted_users,0.043179,0.044203,0.1024,0.023437321,21,119,134,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,converted_users,0.054427,0.058061,0.3634,0.064611336,25,150,167,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,converted_users,0.06894,0.063677,0.5263,0.079371423,28,190,210,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,converted_users,0.056604,0.05625,0.0354,0.006273592,21,156,173,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,converted_users,0.056967,0.054167,0.28,0.05038962,26,157,177,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,converted_users,0.062772,0.066848,0.4076,0.062891529,27,173,191,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,converted_users,0.04971,0.049004,0.0706,0.014303949,22,137,151,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,converted_users,0.067126,0.063587,0.3539,0.054149166,26,185,207,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,converted_users,0.062409,0.067029,0.462,0.071385528,27,172,191,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,converted_users,0.062046,0.063225,0.1179,0.018823191,26,171,187,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,converted_users,0.048621,0.050543,0.1922,0.038764068,22,134,147,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,converted_users,0.060958,0.056703,0.4255,0.072326429,25,168,186,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,converted_users,0.064224,0.066033,0.1809,0.027775858,25,177,199,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,converted_users,0.054427,0.054529,0.0102,0.001872315,26,150,166,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,converted_users,0.052612,0.050906,0.1706,0.032960451,23,145,159,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,converted_users,0.070755,0.069927,0.0828,0.011771229,27,195,219,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,converted_users,0.064223,0.065308,0.1085,0.016752746,27,177,196,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,purchase_count,0.043791,0.044803,0.1012,0.022845791,21,119,134,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,purchase_count,0.054575,0.05857,0.3995,0.070617349,25,150,167,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,purchase_count,0.068628,0.063702,0.4926,0.074450238,28,190,210,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,purchase_count,0.056536,0.055881,0.0655,0.011653042,21,156,173,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,purchase_count,0.057843,0.05523,0.2613,0.04621793,26,157,177,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,purchase_count,0.062418,0.066471,0.4053,0.062891325,27,173,191,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,purchase_count,0.049347,0.048469,0.0878,0.017952073,22,137,151,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,purchase_count,0.067647,0.064027,0.362,0.054984279,26,185,207,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,purchase_count,0.062418,0.067041,0.4623,0.071420295,27,172,191,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,purchase_count,0.061111,0.062072,0.0961,0.015602802,26,171,187,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,purchase_count,0.048039,0.050016,0.1977,0.040324308,22,134,147,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,purchase_count,0.060784,0.056533,0.4251,0.072470315,25,168,186,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
