touchpoint,interaction_type,outcome,official_model,official_share,recommended_value,benchmark_model,benchmark_share,gap_pp,relative_gap,calculation_valid,data_support_sufficient,models_consistent,reliability_status,reliability_reason
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.043179,0.043179,PATH_LEVEL_SHAPLEY,0.044203,0.1024,0.023437321,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.054427,0.054427,PATH_LEVEL_SHAPLEY,0.058061,0.3634,0.064611336,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.06894,0.06894,PATH_LEVEL_SHAPLEY,0.063677,0.5263,0.079371423,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.056604,0.056604,PATH_LEVEL_SHAPLEY,0.05625,0.0354,0.006273592,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,CLICK,converted_users,MARKOV,0.056967,0.056967,PATH_LEVEL_SHAPLEY,0.054167,0.28,0.05038962,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.062772,0.062772,PATH_LEVEL_SHAPLEY,0.066848,0.4076,0.062891529,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.04971,0.04971,PATH_LEVEL_SHAPLEY,0.049004,0.0706,0.014303949,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,CLICK,converted_users,MARKOV,0.067126,0.067126,PATH_LEVEL_SHAPLEY,0.063587,0.3539,0.054149166,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.062409,0.062409,PATH_LEVEL_SHAPLEY,0.067029,0.462,0.071385528,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,CLICK,converted_users,MARKOV,0.062046,0.062046,PATH_LEVEL_SHAPLEY,0.063225,0.1179,0.018823191,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.048621,0.048621,PATH_LEVEL_SHAPLEY,0.050543,0.1922,0.038764068,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.060958,0.060958,PATH_LEVEL_SHAPLEY,0.056703,0.4255,0.072326429,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,CLICK,converted_users,MARKOV,0.064224,0.064224,PATH_LEVEL_SHAPLEY,0.066033,0.1809,0.027775858,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,CLICK,converted_users,MARKOV,0.054427,0.054427,PATH_LEVEL_SHAPLEY,0.054529,0.0102,0.001872315,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,converted_users,MARKOV,0.052612,0.052612,PATH_LEVEL_SHAPLEY,0.050906,0.1706,0.032960451,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,converted_users,MARKOV,0.070755,0.070755,PATH_LEVEL_SHAPLEY,0.069927,0.0828,0.011771229,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,IMPRESSION,converted_users,MARKOV,0.064223,0.064223,PATH_LEVEL_SHAPLEY,0.065308,0.1085,0.016752746,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.043791,0.043791,PATH_LEVEL_SHAPLEY,0.044803,0.1012,0.022845791,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.054575,0.054575,PATH_LEVEL_SHAPLEY,0.05857,0.3995,0.070617349,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.068628,0.068628,PATH_LEVEL_SHAPLEY,0.063702,0.4926,0.074450238,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.056536,0.056536,PATH_LEVEL_SHAPLEY,0.055881,0.0655,0.011653042,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,CLICK,purchase_count,MARKOV,0.057843,0.057843,PATH_LEVEL_SHAPLEY,0.05523,0.2613,0.04621793,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.062418,0.062418,PATH_LEVEL_SHAPLEY,0.066471,0.4053,0.062891325,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.049347,0.049347,PATH_LEVEL_SHAPLEY,0.048469,0.0878,0.017952073,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,CLICK,purchase_count,MARKOV,0.067647,0.067647,PATH_LEVEL_SHAPLEY,0.064027,0.362,0.054984279,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.062418,0.062418,PATH_LEVEL_SHAPLEY,0.067041,0.4623,0.071420295,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,CLICK,purchase_count,MARKOV,0.061111,0.061111,PATH_LEVEL_SHAPLEY,0.062072,0.0961,0.015602802,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.048039,0.048039,PATH_LEVEL_SHAPLEY,0.050016,0.1977,0.040324308,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.060784,0.060784,PATH_LEVEL_SHAPLEY,0.056533,0.4251,0.072470315,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,CLICK,purchase_count,MARKOV,0.065033,0.065033,PATH_LEVEL_SHAPLEY,0.067123,0.209,0.031629287,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,CLICK,purchase_count,MARKOV,0.054248,0.054248,PATH_LEVEL_SHAPLEY,0.054334,0.0086,0.001584056,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,purchase_count,MARKOV,0.051961,0.051961,PATH_LEVEL_SHAPLEY,0.050179,0.1782,0.034893284,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,purchase_count,MARKOV,0.071569,0.071569,PATH_LEVEL_SHAPLEY,0.070544,0.1025,0.014425141,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,IMPRESSION,purchase_count,MARKOV,0.064052,0.064052,PATH_LEVEL_SHAPLEY,0.065005,0.0953,0.014768668,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,IMPRESSION,revenue,MARKOV,0.042955,0.042955,PATH_LEVEL_SHAPLEY,0.044672,0.1717,0.039188834,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,IMPRESSION,revenue,MARKOV,0.061286,0.061286,PATH_LEVEL_SHAPLEY,0.066603,0.5317,0.083150232,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,revenue,MARKOV,0.073416,0.073416,PATH_LEVEL_SHAPLEY,0.068516,0.49,0.069047149,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,revenue,MARKOV,0.063289,0.063289,PATH_LEVEL_SHAPLEY,0.062917,0.0372,0.005895124,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,CLICK,revenue,MARKOV,0.053486,0.053486,PATH_LEVEL_SHAPLEY,0.051853,0.1633,0.031004661,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,revenue,MARKOV,0.05893,0.05893,PATH_LEVEL_SHAPLEY,0.06267,0.374,0.061513158,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,revenue,MARKOV,0.048081,0.048081,PATH_LEVEL_SHAPLEY,0.046811,0.127,0.026767272,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,CLICK,revenue,MARKOV,0.068238,0.068238,PATH_LEVEL_SHAPLEY,0.064439,0.3799,0.057266896,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,IMPRESSION,revenue,MARKOV,0.064275,0.064275,PATH_LEVEL_SHAPLEY,0.068938,0.4663,0.070008182,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,CLICK,revenue,MARKOV,0.056383,0.056383,PATH_LEVEL_SHAPLEY,0.057699,0.1316,0.023071124,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,IMPRESSION,revenue,MARKOV,0.045453,0.045453,PATH_LEVEL_SHAPLEY,0.046598,0.1145,0.024877514,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,IMPRESSION,revenue,MARKOV,0.06331,0.06331,PATH_LEVEL_SHAPLEY,0.058109,0.5201,0.085670282,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,CLICK,revenue,MARKOV,0.065978,0.065978,PATH_LEVEL_SHAPLEY,0.068063,0.2085,0.031109884,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,CLICK,revenue,MARKOV,0.054954,0.054954,PATH_LEVEL_SHAPLEY,0.053786,0.1168,0.021482435,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,revenue,MARKOV,0.050064,0.050064,PATH_LEVEL_SHAPLEY,0.049064,0.1,0.020175934,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,revenue,MARKOV,0.069381,0.069381,PATH_LEVEL_SHAPLEY,0.068139,0.1242,0.018062827,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,IMPRESSION,revenue,MARKOV,0.060521,0.060521,PATH_LEVEL_SHAPLEY,0.061123,0.0602,0.009897734,true,true,true,RELIABLE,ALL_CRITERIA_PASSED
