attribution_model,touchpoint,interaction_type,converted_user_share,purchase_count_share,revenue_share,attributed_converted_users,attributed_purchase_count,attributed_revenue,impressions,clicks,cost,reported_purchases,reported_sales,roas,roi,cpa,cost_per_converted_user
shapley,AMAZON_DSP:AUDIO:UNSPECIFIED:UNSPECIFIED:IMPRESSION,IMPRESSION,0.044203,0.044803,0.044672,40.6667,45.8333,3922.32,385,0,7.7,0,0.0,509.392208,508.392208,0.168,0.189344
shapley,AMAZON_DSP:DISPLAY:UNSPECIFIED:IMAGE:IMPRESSION,IMPRESSION,0.058061,0.05857,0.066603,53.4167,59.9167,5847.9,443,0,4.43,0,0.0,1320.06772,1319.06772,0.073936,0.082933
shapley,AMAZON_DSP:ONLINE_VIDEO:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,0.063677,0.063702,0.068516,58.5833,65.1667,6015.93,490,0,9.8,0,0.0,613.870408,612.870408,0.150384,0.167283
shapley,AMAZON_DSP:STREAMING_TV:UNSPECIFIED:VIDEO:IMPRESSION,IMPRESSION,0.05625,0.055881,0.062917,51.75,57.1667,5524.28,398,0,11.94,0,0.0,462.670017,461.670017,0.208863,0.230725
shapley,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:CLICK,CLICK,0.054167,0.05523,0.051853,49.8333,56.5,4552.86,0,470,565.09,62,4966.1,8.056876,7.056876,10.001593,11.339606
shapley,SPONSORED_BRANDS:COMPONENT:TOP_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,0.066848,0.066471,0.06267,61.5,68.0,5502.58,481,0,0.0,0,0.0,,,,
shapley,SPONSORED_BRANDS:DISPLAY:REST_OF_SEARCH:IMAGE:IMPRESSION,IMPRESSION,0.049004,0.048469,0.046811,45.0833,49.5833,4110.17,399,0,0.0,0,0.0,,,,
shapley,SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:CLICK,CLICK,0.063587,0.064027,0.064439,58.5,65.5,5657.88,0,461,635.98,117,10829.74,8.896317,7.896317,9.709618,10.871453
shapley,SPONSORED_BRANDS:VIDEO:TOP_OF_SEARCH:VIDEO:IMPRESSION,IMPRESSION,0.067029,0.067041,0.068938,61.6667,68.5833,6052.96,467,0,0.0,0,0.0,,,,
shapley,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:CLICK,CLICK,0.063225,0.062072,0.057699,58.1667,63.5,5066.17,0,471,431.26,123,9664.6,11.747368,10.747368,6.791496,7.414208
shapley,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:IMAGE:IMPRESSION,IMPRESSION,0.050543,0.050016,0.046598,46.5,51.1667,4091.4,409,0,0.0,0,0.0,,,,
shapley,SPONSORED_DISPLAY:DISPLAY:PRODUCT_PAGE:VIDEO:IMPRESSION,IMPRESSION,0.056703,0.056533,0.058109,52.1667,57.8333,5102.15,447,0,0.0,0,0.0,,,,
shapley,SPONSORED_DISPLAY:VIDEO:PRODUCT_PAGE:VIDEO:CLICK,CLICK,0.066033,0.067123,0.068063,60.75,68.6667,5976.16,0,450,531.56,143,12369.85,11.242682,10.242682,7.741161,8.749959
shapley,SPONSORED_PRODUCTS:PRODUCT_AD:PRODUCT_PAGE:UNSPECIFIED:CLICK,CLICK,0.054529,0.054334,0.053786,50.1667,55.5833,4722.55,0,463,408.72,128,11373.11,11.554487,10.554487,7.353288,8.147237
shapley,SPONSORED_PRODUCTS:PRODUCT_AD:REST_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,0.050906,0.050179,0.049064,46.8333,51.3333,4307.96,0,419,344.93,95,7770.47,12.489375,11.489375,6.71942,7.365059
shapley,SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:CLICK,CLICK,0.069927,0.070544,0.068139,64.3333,72.1667,5982.79,0,470,480.62,149,12584.27,12.448067,11.448067,6.659858,7.470781
shapley,SPONSORED_PRODUCTS:PRODUCT_AD:TOP_OF_SEARCH:UNSPECIFIED:IMPRESSION,IMPRESSION,0.065308,0.065005,0.061123,60.0833,66.5,5366.77,477,0,0.0,0,0.0,,,,
